cumulative_frequency	cumulative_node_frequency	count	text
0.0679	0.03159	8467394	<%ID> = load i32, i32* <%ID>, align 4
0.1345	0.06258	8309448	br label <%ID>
0.193	0.08979	7293566	br i1 <%ID>, label <%ID>, label <%ID>
0.2298	0.1069	4590982	
0.252	0.1172	2762478	store i32 <%ID>, i32* <%ID>, align 4
0.2739	0.1274	2729083	call void <@ID>(i64 <INT>, i8* nonnull <%ID>)
0.2927	0.1362	2354846	<%ID> = sext i32 <%ID> to i64
0.309	0.1438	2028483	<%ID> = alloca i32, align 4
0.322	0.1498	1617649	<%ID> = load i64, i64* <%ID>, align 8
0.3338	0.1553	1475262	<%ID> = load i8*, i8** <%ID>, align 8
0.3455	0.1607	1462024	store i32 <INT>, i32* <%ID>, align 4
0.3572	0.1662	1453068	<%ID> = add nsw i32 <%ID>, <INT>
0.3671	0.1708	1240610	<%ID> = icmp eq i32 <%ID>, <INT>
0.3768	0.1753	1211725	<%ID> = load i8, i8* <%ID>, align 1
0.3851	0.1792	1034444	ret void
0.392	0.1824	851539	<%ID> = phi i32 [ <%ID>, <%ID> ], [ <%ID>, <%ID> ]
0.3988	0.1855	846979	<%ID> = add nuw nsw i64 <%ID>, <INT>
0.4051	0.1884	787043	store i64 <%ID>, i64* <%ID>, align 8
0.4111	0.1913	753077	<%ID> = zext i32 <%ID> to i64
0.4168	0.1939	704268	<%ID> = icmp ne i32 <%ID>, <INT>
0.422	0.1963	651993	<%ID> = icmp sgt i32 <%ID>, <INT>
0.4267	0.1985	584584	store i8* <%ID>, i8** <%ID>, align 8
0.4313	0.2006	576193	<%ID> = icmp slt i32 <%ID>, <%ID>
0.4356	0.2026	533140	<%ID> = load i32, i32* <%ID>, align 8
0.4398	0.2046	531839	<%ID> = bitcast i32* <%ID> to i8*
0.444	0.2066	524251	<%ID> = trunc i64 <%ID> to i32
0.4482	0.2085	518872	<%ID> = icmp eq i64 <%ID>, <INT>
0.4523	0.2104	506884	<%ID> = phi i64 [ <%ID>, <%ID> ], [ <%ID>, <%ID> ]
0.4561	0.2122	476813	<%ID> = and i32 <%ID>, <INT>
0.4599	0.2139	474119	<%ID> = add nsw i32 <%ID>, <%ID>
0.4637	0.2157	473565	<%ID> = load double, double* <%ID>, align 8
0.4674	0.2175	467043	<%ID> = add i32 <%ID>, <%ID>
0.4711	0.2192	461679	<%ID> = alloca i64, align 8
0.4747	0.2209	450769	<%ID> = phi i64 [ 0, <%ID> ], [ <%ID>, <%ID> ]
0.4782	0.2225	432851	<%ID> = getelementptr inbounds i8, i8* <%ID>, i64 <INT>
0.4816	0.2241	427075	<%ID> = load i32, i32* <@ID>, align 4
0.485	0.2256	422884	<%ID> = icmp eq i8 <%ID>, <INT>
0.4884	0.2272	420357	<%ID> = add i64 <%ID>, <INT>
0.4917	0.2287	411551	<%ID> = bitcast i32* <%ID> to <4 x i32>*
0.495	0.2303	410767	ret i32 <INT>
0.4983	0.2318	406531	<%ID> = add nsw i64 <%ID>, <INT>
0.5015	0.2333	403240	<%ID> = and i64 <%ID>, <INT>
0.5047	0.2348	402085	store i8 <%ID>, i8* <%ID>, align 1
0.5078	0.2363	390512	<%ID> = alloca i8*, align 8
0.5109	0.2377	384279	<%ID> = icmp eq i64 <%ID>, <%ID>
0.514	0.2391	383611	<%ID> = zext i1 <%ID> to i32
0.5169	0.2405	357049	<%ID> = icmp slt i64 <%ID>, <%ID>
0.5196	0.2417	337901	<%ID> = add i64 <%ID>, <%ID>
0.5222	0.243	333733	<%ID> = sext i8 <%ID> to i32
0.5249	0.2442	333131	<%ID> = add i32 <%ID>, <INT>
0.5276	0.2454	332862	ret i32 <%ID>
0.5302	0.2467	326543	<%ID> = icmp slt i32 <%ID>, <INT>
0.5328	0.2479	319476	<%ID> = load i32*, i32** <%ID>, align 8
0.5352	0.249	308370	<%ID> = icmp eq i32 <%ID>, <%ID>
0.5377	0.2501	300764	<%ID> = zext i8 <%ID> to i32
0.54	0.2512	298773	<%ID> = getelementptr i8, i8* <%ID>, i64 <INT>
0.5424	0.2524	297754	tail call void <@ID>({ i8 }* nonnull <@ID>)
0.5448	0.2535	297753	<%ID> = tail call i32 <@ID>(void (i8*)* bitcast (void ({ i8 }*)* <@ID> to void (i8*)*), i8* getelementptr inbounds ({ i8 }, { i8 }* <@ID>, i64 <INT>, i32 <INT>), i8* nonnull <@ID>)
0.5472	0.2546	293669	<%ID> = getelementptr inbounds i8, i8* <%ID>, i64 <%ID>
0.5495	0.2556	291943	<%ID> = getelementptr inbounds i32, i32* <%ID>, i64 <%ID>
0.5518	0.2567	286403	<%ID> = sub nsw i32 <%ID>, <INT>
0.554	0.2578	277462	<%ID> = icmp sgt i32 <%ID>, <%ID>
0.5563	0.2588	276114	<%ID> = phi i64 [ <%ID>, <%ID> ], [ 0, <%ID> ]
0.5584	0.2598	271516	<%ID> = load i8, i8* <%ID>, align 8
0.5605	0.2608	256449	<%ID> = phi i32 [ 0, <%ID> ], [ <%ID>, <%ID> ]
0.5625	0.2617	251638	store i8 <INT>, i8* <%ID>, align 1
0.5645	0.2626	247218	<%ID> = call i32 (i8*, ...) <@ID>(i8* getelementptr inbounds ([3 x i8], [3 x i8]* <@ID>, i64 <INT>, i64 <INT>), i32* nonnull <%ID>)
0.5665	0.2635	246397	<%ID> = or i64 <%ID>, <INT>
0.5684	0.2644	238204	<%ID> = load i16, i16* <%ID>, align 2
0.5702	0.2653	229358	<%ID> = add nuw nsw i32 <%ID>, <INT>
0.572	0.2661	228831	call void <@ID>()
0.5739	0.267	227075	<%ID> = xor i1 <%ID>, true
0.5757	0.2678	226760	<%ID> = srem i32 <%ID>, <INT>
0.5775	0.2687	224546	<%ID> = select i1 <%ID>, i32 <%ID>, i32 <%ID>
0.5793	0.2695	222334	<%ID> = bitcast i8* <%ID> to i64*
0.581	0.2703	217191	<%ID> = sub nsw i32 <%ID>, <%ID>
0.5827	0.2711	207939	<%ID> = getelementptr inbounds [100 x i32], [100 x i32]* <%ID>, i64 <INT>, i64 <%ID>
0.5843	0.2718	199399	<%ID> = load float, float* <%ID>, align 4
0.5858	0.2725	191352	store i64 <INT>, i64* <%ID>, align 8
0.5873	0.2732	186690	store double <%ID>, double* <%ID>, align 8
0.5888	0.2739	184151	<%ID> = xor i32 <%ID>, <%ID>
0.5902	0.2746	181166	<%ID> = getelementptr i32, i32* <%ID>, i64 <INT>
0.5917	0.2753	178502	<%ID> = alloca i8, align 1
0.5931	0.2759	177530	<%ID> = sub nsw i64 <%ID>, <%ID>
0.5945	0.2766	175476	unreachable
0.5959	0.2772	175439	<%ID> = lshr i32 <%ID>, <INT>
0.5973	0.2779	172769	<%ID> = getelementptr inbounds <%ID>, <%ID>* <%ID>, i32 <INT>, i32 <INT>
0.5987	0.2785	170818	<%ID> = or i1 <%ID>, <%ID>
0.6	0.2791	170415	<%ID> = or i32 <%ID>, <%ID>
